ReviewId,Reviewerid,CommentIndex,NumOfCurrent,NumOfincurrent,CurrentPar,IncurrentPar,Status
 424,1000049, 2, 53, 19,0.736111,0.263889,merged
 450,1000049, 1, 54, 19,0.739726,0.260274,merged
 450,1000049, 2, 55, 19,0.743243,0.256757,merged
 458,1000049, 1, 56, 19,0.746667,0.253333,merged
 458,1000049, 2, 57, 19,0.750000,0.250000,merged
 464,1000049, 1, 58, 19,0.753247,0.246753,merged
 464,1000053, 2,  1,  0,1.000000,0.000000,merged
 477,1000049, 1, 58, 20,0.743590,0.256410,merged
 477,1000049, 2, 59, 20,0.746835,0.253165,merged
 479,1000049, 1, 59, 21,0.737500,0.262500,merged
 479,1000010, 2,  1,  0,1.000000,0.000000,merged
 486,1000049, 1, 60, 21,0.740741,0.259259,merged
 486,1000049, 2, 61, 21,0.743902,0.256098,merged
 488,1000049, 1, 62, 21,0.746988,0.253012,merged
 488,1000049, 2, 63, 21,0.750000,0.250000,merged
 489,1000049, 1, 63, 22,0.741176,0.258824,merged
 489,1000049, 2, 64, 22,0.744186,0.255814,merged
 505,1000049, 1, 65, 22,0.747126,0.252874,merged
 505,1000105, 2,  2,  0,1.000000,0.000000,merged
 509,1000049, 1, 65, 23,0.738636,0.261364,merged
 509,1000049, 2, 66, 23,0.741573,0.258427,merged
 513,1000049, 1, 67, 23,0.744444,0.255556,merged
 513,1000049, 2, 68, 23,0.747253,0.252747,merged
 519,1000049, 1, 68, 24,0.739130,0.260870,merged
 519,1000049, 2, 69, 24,0.741935,0.258065,merged
 538,1000049, 1, 69, 25,0.734043,0.265957,merged
 538,1000049, 2, 70, 25,0.736842,0.263158,merged
 544,1000049, 1, 70, 26,0.729167,0.270833,merged
 544,1000049, 2, 71, 26,0.731959,0.268041,merged
 545,1000049, 1, 71, 27,0.724490,0.275510,merged
 545,1000049, 2, 72, 27,0.727273,0.272727,merged
 556,1000049, 1, 72, 28,0.720000,0.280000,merged
 556,1000049, 2, 73, 28,0.722772,0.277228,merged
 558,1000049, 1, 74, 28,0.725490,0.274510,merged
 558,1000063, 2,  2,  0,1.000000,0.000000,merged
 565,1000049, 1, 75, 28,0.728155,0.271845,merged
 565,1000049, 2, 76, 28,0.730769,0.269231,merged
 566,1000049, 1, 76, 29,0.723810,0.276190,merged
 566,1000049, 2, 77, 29,0.726415,0.273585,merged
 569,1000049, 1, 78, 29,0.728972,0.271028,merged
 569,1000049, 2, 79, 29,0.731481,0.268519,merged
 573,1000049, 1, 79, 30,0.724771,0.275229,merged
 573,1000049, 2, 80, 30,0.727273,0.272727,merged
 575,1000049, 1, 80, 31,0.720721,0.279279,merged
 575,1000049, 2, 81, 31,0.723214,0.276786,merged
 583,1000049, 1, 81, 32,0.716814,0.283186,merged
 583,1000049, 2, 82, 32,0.719298,0.280702,merged
 589,1000049, 1, 82, 33,0.713043,0.286957,merged
 589,1000049, 2, 83, 33,0.715517,0.284483,merged
 596,1000049, 1, 83, 34,0.709402,0.290598,merged
 596,1000049, 2, 84, 34,0.711864,0.288136,merged
 599,1000049, 1, 85, 34,0.714286,0.285714,abandoned
 599,1000049, 2, 85, 35,0.708333,0.291667,abandoned
 600,1000049, 1, 85, 36,0.702479,0.297521,abandoned
 600,1000004, 2,  1,  0,1.000000,0.000000,abandoned
 612,1000049, 1, 85, 37,0.696721,0.303279,merged
 612,1000049, 2, 86, 37,0.699187,0.300813,merged
 619,1000049, 1, 87, 37,0.701613,0.298387,merged
 619,1000049, 2, 88, 37,0.704000,0.296000,merged
 625,1000049, 1, 88, 38,0.698413,0.301587,merged
 625,1000049, 2, 89, 38,0.700787,0.299213,merged
 627,1000049, 1, 89, 39,0.695312,0.304688,merged
 627,1000049, 2, 90, 39,0.697674,0.302326,merged
 635,1000049, 1, 90, 40,0.692308,0.307692,abandoned
 635,1000049, 2, 90, 41,0.687023,0.312977,abandoned
 636,1000049, 1, 91, 41,0.689394,0.310606,merged
 636,1000023, 2,  1,  0,1.000000,0.000000,merged
 664,1000049, 1, 92, 41,0.691729,0.308271,merged
 664,1000044, 2,  0,  1,0.000000,1.000000,merged
 668,1000049, 1, 93, 41,0.694030,0.305970,merged
 668,1000049, 2, 94, 41,0.696296,0.303704,merged
 669,1000049, 1, 94, 42,0.691176,0.308824,merged
 669,1000565, 2,  0,  1,0.000000,1.000000,merged
 671,1000049, 1, 94, 43,0.686131,0.313869,merged
 671,1000004, 2,  1,  1,0.500000,0.500000,merged
 672,1000049, 1, 95, 43,0.688406,0.311594,merged
 672,1000327, 2,  0,  1,0.000000,1.000000,merged
 673,1000049, 1, 95, 44,0.683453,0.316547,merged
 673,1000037, 2,  1,  0,1.000000,0.000000,merged
 674,1000049, 1, 96, 44,0.685714,0.314286,merged
 674,1000049, 2, 97, 44,0.687943,0.312057,merged
 675,1000049, 1, 98, 44,0.690141,0.309859,merged
 675,1000049, 2, 99, 44,0.692308,0.307692,merged
 678,1000049, 1, 99, 45,0.687500,0.312500,merged
 678,1000049, 2,100, 45,0.689655,0.310345,merged
 685,1000049, 1,101, 45,0.691781,0.308219,merged
 685,1000049, 2,102, 45,0.693878,0.306122,merged
 698,1000049, 1,102, 46,0.689189,0.310811,abandoned
 698,1000049, 2,102, 47,0.684564,0.315436,abandoned
 699,1000049, 1,102, 48,0.680000,0.320000,merged
 699,1000049, 2,103, 48,0.682119,0.317881,merged
 700,1000049, 1,103, 49,0.677632,0.322368,merged
 700,1000049, 2,104, 49,0.679739,0.320261,merged
 731,1000049, 1,105, 49,0.681818,0.318182,merged
 731,1000049, 2,106, 49,0.683871,0.316129,merged
 741,1000039, 1,  1,  0,1.000000,0.000000,abandoned
 741,1000049, 2,107, 49,0.685897,0.314103,abandoned
 742,1000039, 1,  2,  0,1.000000,0.000000,abandoned
 742,1000049, 2,108, 49,0.687898,0.312102,abandoned
 743,1000049, 1,109, 49,0.689873,0.310127,merged
 743,1000160, 2,  1,  0,1.000000,0.000000,merged
 748,1000049, 1,109, 50,0.685535,0.314465,merged
 748,1000049, 2,110, 50,0.687500,0.312500,merged
 749,1000049, 1,110, 51,0.683230,0.316770,merged
 749,1000049, 2,111, 51,0.685185,0.314815,merged
 750,1000049, 1,111, 52,0.680982,0.319018,merged
 750,1000049, 2,112, 52,0.682927,0.317073,merged
 755,1000049, 1,113, 52,0.684848,0.315152,merged
 755,1000029, 2,  1,  0,1.000000,0.000000,merged
 761,1000049, 1,113, 53,0.680723,0.319277,merged
 761,1000049, 2,114, 53,0.682635,0.317365,merged
 762,1000049, 1,115, 53,0.684524,0.315476,merged
 762,1000003, 2,  2,  0,1.000000,0.000000,merged
 763,1000049, 1,115, 54,0.680473,0.319527,merged
 763,1000050, 2,  1,  0,1.000000,0.000000,merged
 764,1000049, 1,116, 54,0.682353,0.317647,merged
 764,1000015, 2,  3,  1,0.750000,0.250000,merged
 769,1000049, 1,116, 55,0.678363,0.321637,merged
 769,1000049, 2,117, 55,0.680233,0.319767,merged
 777,1000049, 1,117, 56,0.676301,0.323699,abandoned
 777,1000004, 2,  2,  1,0.666667,0.333333,abandoned
 779,1000049, 1,118, 56,0.678161,0.321839,merged
 779,1000049, 2,118, 57,0.674286,0.325714,merged
 784,1000049, 1,118, 58,0.670455,0.329545,merged
 784,1000049, 2,119, 58,0.672316,0.327684,merged
 789,1000049, 1,120, 58,0.674157,0.325843,merged
 789,1000049, 2,121, 58,0.675978,0.324022,merged
 790,1000049, 1,122, 58,0.677778,0.322222,abandoned
 790,1000049, 2,123, 58,0.679558,0.320442,abandoned
 793,1000049, 1,123, 59,0.675824,0.324176,merged
 793,1000049, 2,124, 59,0.677596,0.322404,merged
 811,1000049, 1,125, 59,0.679348,0.320652,merged
 811,1000049, 2,126, 59,0.681081,0.318919,merged
 824,1000049, 1,127, 59,0.682796,0.317204,merged
 824,1000049, 2,128, 59,0.684492,0.315508,merged
 827,1000049, 1,128, 60,0.680851,0.319149,merged
 827,1000049, 2,129, 60,0.682540,0.317460,merged
 837,1000049, 1,130, 60,0.684211,0.315789,merged
 837,1000090, 2,  0,  1,0.000000,1.000000,merged
 839,1000049, 1,131, 60,0.685864,0.314136,merged
 839,1000049, 2,132, 60,0.687500,0.312500,merged
 841,1000049, 1,133, 60,0.689119,0.310881,merged
 841,1000049, 2,134, 60,0.690722,0.309278,merged
 847,1000049, 1,135, 60,0.692308,0.307692,merged
 847,1000049, 2,136, 60,0.693878,0.306122,merged
 853,1000049, 1,137, 60,0.695431,0.304569,abandoned
 853,1000049, 2,137, 61,0.691919,0.308081,abandoned
 860,1000049, 1,138, 61,0.693467,0.306533,merged
 860,1000129, 2,  1,  0,1.000000,0.000000,merged
 868,1000049, 1,138, 62,0.690000,0.310000,merged
 868,1000003, 2,  2,  1,0.666667,0.333333,merged
 870,1000049, 1,139, 62,0.691542,0.308458,merged
 870,1000049, 2,140, 62,0.693069,0.306931,merged
 871,1000049, 1,141, 62,0.694581,0.305419,merged
 871,1000049, 2,142, 62,0.696078,0.303922,merged
 873,1000049, 1,143, 62,0.697561,0.302439,merged
 873,1000049, 2,144, 62,0.699029,0.300971,merged
 874,1000049, 1,145, 62,0.700483,0.299517,merged
 874,1000049, 2,146, 62,0.701923,0.298077,merged
 890,1000049, 1,146, 63,0.698565,0.301435,merged
 890,1000049, 2,147, 63,0.700000,0.300000,merged
 898,1000049, 1,147, 64,0.696682,0.303318,merged
 898,1000049, 2,148, 64,0.698113,0.301887,merged
 903,1000049, 1,148, 65,0.694836,0.305164,merged
 903,1000049, 2,149, 65,0.696262,0.303738,merged
 913,1000049, 1,149, 66,0.693023,0.306977,merged
 913,1000049, 2,150, 66,0.694444,0.305556,merged
 915,1000049, 1,150, 67,0.691244,0.308756,merged
 915,1000049, 2,151, 67,0.692661,0.307339,merged
 926,1000049, 1,151, 68,0.689498,0.310502,merged
 926,1000049, 2,152, 68,0.690909,0.309091,merged
 927,1000049, 1,152, 69,0.687783,0.312217,abandoned
 927,1000127, 2,  1,  0,1.000000,0.000000,abandoned
 945,1000049, 1,152, 70,0.684685,0.315315,merged
 945,1000049, 2,153, 70,0.686099,0.313901,merged
 955,1000049, 1,154, 70,0.687500,0.312500,merged
 955,1000049, 2,155, 70,0.688889,0.311111,merged
 957,1000049, 1,155, 71,0.685841,0.314159,merged
 957,1000049, 2,156, 71,0.687225,0.312775,merged
 961,1000049, 1,157, 71,0.688596,0.311404,merged
 961,1000049, 2,158, 71,0.689956,0.310044,merged
 967,1000049, 1,159, 71,0.691304,0.308696,merged
 967,1000129, 2,  2,  0,1.000000,0.000000,merged
 970,1000049, 1,160, 71,0.692641,0.307359,abandoned
 970,1000049, 2,161, 71,0.693966,0.306034,abandoned
 971,1000049, 1,162, 71,0.695279,0.304721,abandoned
 971,1000049, 2,163, 71,0.696581,0.303419,abandoned
 972,1000049, 1,164, 71,0.697872,0.302128,abandoned
 972,1000041, 2,  1,  0,1.000000,0.000000,abandoned
 998,1000049, 1,164, 72,0.694915,0.305085,merged
