ReviewId,Reviewerid,CommentIndex,NumOfCurrent,NumOfincurrent,CurrentPar,IncurrentPar,Status
   1,1000007, 1,  1,  0,1.000000,0.000000,merged
   2,1000012, 1,  1,  0,1.000000,0.000000,merged
   4,1000011, 1,  1,  0,1.000000,0.000000,merged
  11,1000004, 1,  1,  0,1.000000,0.000000,abandoned
  17,1000029, 1,  1,  0,1.000000,0.000000,merged
  19,1000007, 1,  2,  0,1.000000,0.000000,abandoned
  31,1000049, 1,  1,  0,1.000000,0.000000,merged
  50,1000049, 1,  1,  1,0.500000,0.500000,abandoned
  63,1000049, 1,  2,  1,0.666667,0.333333,merged
  64,1000049, 1,  2,  2,0.500000,0.500000,merged
  66,1000049, 1,  3,  2,0.600000,0.400000,merged
  67,1000049, 1,  4,  2,0.666667,0.333333,merged
  68,1000049, 1,  5,  2,0.714286,0.285714,merged
  69,1000049, 1,  6,  2,0.750000,0.250000,merged
  71,1000049, 1,  7,  2,0.777778,0.222222,merged
  72,1000049, 1,  8,  2,0.800000,0.200000,merged
  73,1000049, 1,  9,  2,0.818182,0.181818,merged
  79,1000049, 1,  9,  3,0.750000,0.250000,merged
  80,1000049, 1, 10,  3,0.769231,0.230769,merged
  81,1000049, 1, 11,  3,0.785714,0.214286,merged
  82,1000049, 1, 11,  4,0.733333,0.266667,merged
  83,1000049, 1, 11,  5,0.687500,0.312500,merged
  84,1000049, 1, 12,  5,0.705882,0.294118,merged
  85,1000049, 1, 12,  6,0.666667,0.333333,merged
  87,1000049, 1, 13,  6,0.684211,0.315789,merged
  88,1000049, 1, 14,  6,0.700000,0.300000,merged
  89,1000049, 1, 15,  6,0.714286,0.285714,merged
  97,1000049, 1, 16,  6,0.727273,0.272727,merged
  99,1000049, 1, 17,  6,0.739130,0.260870,merged
 104,1000049, 1, 18,  6,0.750000,0.250000,merged
 105,1000049, 1, 19,  6,0.760000,0.240000,merged
 106,1000049, 1, 19,  7,0.730769,0.269231,merged
 107,1000049, 1, 20,  7,0.740741,0.259259,merged
 108,1000049, 1, 21,  7,0.750000,0.250000,merged
 109,1000049, 1, 22,  7,0.758621,0.241379,merged
 110,1000049, 1, 23,  7,0.766667,0.233333,merged
 111,1000049, 1, 24,  7,0.774194,0.225806,merged
 114,1000007, 1,  3,  0,1.000000,0.000000,merged
 126,1000008, 1,  1,  0,1.000000,0.000000,merged
 127,1000049, 1, 25,  7,0.781250,0.218750,merged
 128,1000097, 1,  1,  0,1.000000,0.000000,merged
 152,1000049, 1, 26,  7,0.787879,0.212121,merged
 153,1000049, 1, 27,  7,0.794118,0.205882,merged
 157,1000049, 1, 28,  7,0.800000,0.200000,abandoned
 159,1000063, 1,  1,  0,1.000000,0.000000,merged
 181,1000010, 1,  0,  1,0.000000,1.000000,merged
 184,1000026, 1,  1,  0,1.000000,0.000000,merged
 190,1000011, 1,  2,  0,1.000000,0.000000,merged
