ReviewId,Reviewerid,CommentIndex,NumOfCurrent,NumOfincurrent,CurrentPar,IncurrentPar,score,Status
10006,1000049,1,0,1,0,1,0,merged
10006,1000049,2,1,1,0.5,0.5,0.5,merged
10006,1000049,3,2,1,0.666667,0.333333,1.166667,merged
10013,1000049,1,2,2,0.5,0.5,0.5,merged
10013,1000063,2,1,0,1,0,1.5,merged
10013,1000049,3,3,2,0.6,0.4,2.1,merged
10016,1000049,1,3,3,0.5,0.5,0.5,merged
10016,1000049,2,4,3,0.571429,0.428571,1.071429,merged
10016,1000155,3,0,1,0,1,1.071429,merged
10025,1000049,1,4,4,0.5,0.5,0.5,merged
10025,1000027,2,1,0,1,0,1.5,merged
10025,1000049,3,5,4,0.555556,0.444444,2.055556,merged
10062,1000049,1,5,5,0.5,0.5,0.5,merged
10062,1000254,2,1,0,1,0,1.5,merged
10062,1000049,3,6,5,0.545455,0.454545,2.045455,merged
10064,1000049,1,7,5,0.583333,0.416667,0.583333,merged
10064,1000120,2,1,0,1,0,1.583333,merged
10064,1000049,3,8,5,0.615385,0.384615,2.198718,merged
10070,1000049,1,9,5,0.642857,0.357143,0.642857,merged
10070,1000113,2,1,0,1,0,1.642857,merged
10070,1000175,3,1,0,1,0,2.642857,merged
10097,1000049,1,9,6,0.6,0.4,0.6,merged
10097,1000049,2,9,7,0.5625,0.4375,1.1625,merged
10097,1000049,3,10,7,0.588235,0.411765,1.750735,merged
10105,1000049,1,10,8,0.555556,0.444444,0.555556,merged
10105,1000049,2,10,9,0.526316,0.473684,1.081871,merged
10105,1000049,3,11,9,0.55,0.45,1.631871,merged
10123,1000049,1,11,10,0.52381,0.47619,0.52381,merged
10123,1000049,2,11,11,0.5,0.5,1.02381,merged
10123,1000049,3,12,11,0.521739,0.478261,1.545549,merged
10139,1000049,1,12,12,0.5,0.5,0.5,abandoned
10139,1000049,2,12,13,0.48,0.52,0.98,abandoned
10139,1000049,3,12,14,0.461538,0.538462,1.441538,abandoned
10143,1000049,1,13,14,0.481481,0.518519,0.481481,merged
10143,1000217,2,1,0,1,0,1.481481,merged
10143,1000049,3,14,14,0.5,0.5,1.981481,merged
10152,1000049,1,15,14,0.517241,0.482759,0.517241,merged
10152,1000004,2,1,0,1,0,1.517241,merged
10152,1000049,3,16,14,0.533333,0.466667,2.050575,merged
10154,1000049,1,17,14,0.548387,0.451613,0.548387,merged
10154,1000329,2,1,0,1,0,1.548387,merged
10154,1000049,3,18,14,0.5625,0.4375,2.110887,merged
10155,1000049,1,18,15,0.545455,0.454545,0.545455,merged
10155,1000049,2,18,16,0.529412,0.470588,1.074866,merged
10155,1000049,3,19,16,0.542857,0.457143,1.617723,merged
10159,1000049,1,19,17,0.527778,0.472222,0.527778,merged
10159,1000383,2,1,0,1,0,1.527778,merged
10159,1000015,3,1,0,1,0,2.527778,merged
10172,1000049,1,19,18,0.513514,0.486486,0.513514,merged
10172,1000049,2,19,19,0.5,0.5,1.013514,merged
10172,1000049,3,20,19,0.512821,0.487179,1.526334,merged
10187,1000049,1,20,20,0.5,0.5,0.5,merged
10187,1000049,2,20,21,0.487805,0.512195,0.987805,merged
10187,1000049,3,21,21,0.5,0.5,1.487805,merged
10225,1000049,1,21,22,0.488372,0.511628,0.488372,merged
10225,1000049,2,21,23,0.477273,0.522727,0.965645,merged
10225,1000049,3,22,23,0.488889,0.511111,1.454534,merged
10232,1000049,1,23,23,0.5,0.5,0.5,merged
10232,1000049,2,24,23,0.510638,0.489362,1.010638,merged
10232,1000004,3,2,0,1,0,2.010638,merged
10239,1000049,1,25,23,0.520833,0.479167,0.520833,merged
10239,1000127,2,0,1,0,1,0.520833,merged
10239,1000049,3,26,23,0.530612,0.469388,1.051446,merged
10271,1000049,1,26,24,0.52,0.48,0.52,abandoned
10271,1000043,2,0,1,0,1,0.52,abandoned
10271,1000105,3,1,0,1,0,1.52,abandoned
10272,1000049,1,27,24,0.529412,0.470588,0.529412,merged
10272,1000049,2,27,25,0.519231,0.480769,1.048643,merged
10272,1000049,3,28,25,0.528302,0.471698,1.576944,merged
10287,1000049,1,29,25,0.537037,0.462963,0.537037,merged
10287,1000039,2,0,1,0,1,0.537037,merged
10287,1000049,3,29,26,0.527273,0.472727,1.06431,merged
10295,1000049,1,30,26,0.535714,0.464286,0.535714,merged
10295,1000049,2,31,26,0.54386,0.45614,1.079574,merged
10295,1000049,3,32,26,0.551724,0.448276,1.631298,merged
10296,1000049,1,32,27,0.542373,0.457627,0.542373,abandoned
10296,1000049,2,32,28,0.533333,0.466667,1.075706,abandoned
10296,1000049,3,32,29,0.52459,0.47541,1.600296,abandoned
10321,1000049,1,33,29,0.532258,0.467742,0.532258,merged
10321,1000049,2,34,29,0.539683,0.460317,1.071941,merged
10321,1000136,3,1,0,1,0,2.071941,merged
10338,1000049,1,34,30,0.53125,0.46875,0.53125,merged
10338,1000049,2,35,30,0.538462,0.461538,1.069712,merged
10338,1000881,3,1,0,1,0,2.069712,merged
10368,1000049,1,35,31,0.530303,0.469697,0.530303,merged
10368,1000092,2,1,0,1,0,1.530303,merged
10368,1000049,3,36,31,0.537313,0.462687,2.067616,merged
10369,1000049,1,36,32,0.529412,0.470588,0.529412,merged
10369,1000049,2,36,33,0.521739,0.478261,1.051151,merged
10369,1000049,3,37,33,0.528571,0.471429,1.579722,merged
10376,1000049,1,37,34,0.521127,0.478873,0.521127,merged
10376,1000155,2,1,1,0.5,0.5,1.021127,merged
10376,1000049,3,38,34,0.527778,0.472222,1.548905,merged
10402,1000049,1,38,35,0.520548,0.479452,0.520548,abandoned
10402,1000049,2,38,36,0.513514,0.486486,1.034061,abandoned
10402,1000015,3,1,1,0.5,0.5,1.534061,abandoned
10405,1000049,1,38,37,0.506667,0.493333,0.506667,merged
10405,1000049,2,38,38,0.5,0.5,1.006667,merged
10405,1000049,3,39,38,0.506494,0.493506,1.51316,merged
10423,1000049,1,40,38,0.512821,0.487179,0.512821,merged
10423,1000063,2,2,0,1,0,1.512821,merged
10423,1000049,3,41,38,0.518987,0.481013,2.031808,merged
10425,1000049,1,42,38,0.525,0.475,0.525,merged
10425,1000049,2,42,39,0.518519,0.481481,1.043519,merged
10425,1000049,3,43,39,0.52439,0.47561,1.567909,merged
10429,1000049,1,44,39,0.53012,0.46988,0.53012,merged
10429,1000049,2,45,39,0.535714,0.464286,1.065835,merged
10429,1000129,3,1,0,1,0,2.065835,merged
10430,1000049,1,45,40,0.529412,0.470588,0.529412,merged
10430,1000023,2,1,0,1,0,1.529412,merged
10430,1000049,3,46,40,0.534884,0.465116,2.064295,merged
10433,1000049,1,47,40,0.54023,0.45977,0.54023,merged
10433,1000113,2,2,0,1,0,1.54023,merged
10433,1000133,3,0,1,0,1,1.54023,merged
10446,1000049,1,47,41,0.534091,0.465909,0.534091,merged
10446,1000049,2,47,42,0.52809,0.47191,1.062181,merged
10446,1000049,3,48,42,0.533333,0.466667,1.595514,merged
10452,1000049,1,48,43,0.527473,0.472527,0.527473,merged
10452,1000063,2,3,0,1,0,1.527473,merged
10452,1000049,3,49,43,0.532609,0.467391,2.060081,merged
10459,1000049,1,49,44,0.526882,0.473118,0.526882,merged
10459,1000203,2,1,0,1,0,1.526882,merged
10459,1000049,3,50,44,0.531915,0.468085,2.058797,merged
10467,1000049,1,50,45,0.526316,0.473684,0.526316,abandoned
10467,1000049,2,50,46,0.520833,0.479167,1.047149,abandoned
10467,1000049,3,50,47,0.515464,0.484536,1.562613,abandoned
